Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Leemans, Jari; Singh, Shalini; Li, Chen; Ten Brinck, Stephanie; Bals, Sara; Infante, Ivan; Moreels, Iwan; Hens, Zeger; ",Near-edge ligand stripping and robust radiative exciton recombination in CdSe/CdS core/crown nanoplatelets,The journal of physical chemistry letters,11,9,3339-3344,2020,American Chemical Society
"Zhu, Dongxu; Zaffalon, Matteo L; Pinchetti, Valerio; Brescia, Rosaria; Moro, Fabrizio; Fasoli, Mauro; Fanciulli, Marco; Tang, Aiwei; Infante, Ivan; De Trizio, Luca; ",Bright blue emitting Cu-doped Cs2ZnCl4 colloidal nanocrystals,Chemistry of Materials,32,13,5897-5903,2020,American Chemical Society
"Zhu, Dongxu; Zito, Juliette; Pinchetti, Valerio; Dang, Zhiya; Olivati, Andrea; Pasquale, Lea; Tang, Aiwei; Zaffalon, Matteo L; Meinardi, Francesco; Infante, Ivan; ",Compositional Tuning of Carrier Dynamics in Cs2Na1–x Ag x BiCl6 Double-Perovskite Nanocrystals,ACS energy letters,5,6,1840-1847,2020,American Chemical Society
"Imran, Muhammad; Ramade, Julien; Di Stasio, Francesco; De Franco, Manuela; Buha, Joka; Van Aert, Sandra; Goldoni, Luca; Lauciello, Simone; Prato, Mirko; Infante, Ivan; ",Alloy CsCd x Pb1–x Br3 Perovskite Nanocrystals: The Role of Surface Passivation in Preserving Composition and Blue Emission,Chemistry of Materials,32,24,10641-10652,2020,American Chemical Society
"Zhang, Baowei; Wang, Mengjiao; Ghini, Michele; Melcherts, Angela EM; Zito, Juliette; Goldoni, Luca; Infante, Ivan; Guizzardi, Michele; Scotognella, Francesco; Kriegel, Ilka; ",Colloidal Bi-Doped Cs2Ag1–x Na x InCl6 Nanocrystals: Undercoordinated Surface Cl Ions Limit their Light Emission Efficiency,ACS Materials Letters,2,11,1442-1449,2020,American Chemical Society
"Infante, Ivan; Manna, Liberato; ",Are there good alternatives to lead halide perovskite nanocrystals?,Nano Letters,21,1,6-9,2020,American Chemical Society
"Imran, Muhammad; Peng, Lucheng; Pianetti, Andrea; Pinchetti, Valerio; Ramade, Julien; Zito, Juliette; Di Stasio, Francesco; Buha, Joka; Toso, Stefano; Song, Jun; ",Halide Perovskite–Lead Chalcohalide Nanocrystal Heterostructures,Journal of the American Chemical Society,,,,2021,American Chemical Society
"Zito, Juliette; Infante, Ivan; ",The future of ligand engineering in colloidal semiconductor nanocrystals,Accounts of Chemical Research,54,7,1555-1564,2021,American Chemical Society
"Leemans, Jari; Dumbgen, Kim C; Minjauw, Matthias M; Zhao, Qiang; Vantomme, André; Infante, Ivan; Detavernier, Christophe; Hens, Zeger; ","Acid–base mediated ligand exchange on near-infrared absorbing, indium-based III–V colloidal quantum dots",Journal of the American Chemical Society,143,11,4290-4301,2021,American Chemical Society
"Singh, Shalini; Leemans, Jari; Zaccaria, Francesco; Infante, Ivan; Hens, Zeger; ",Ligand adsorption energy and the postpurification surface chemistry of colloidal metal chalcogenide nanocrystals,Chemistry of Materials,33,8,2796-2803,2021,American Chemical Society
"Du Fossé, Indy; Boehme, Simon C; Infante, Ivan; Houtepen, Arjan J; ",Dynamic formation of metal-based traps in photoexcited colloidal quantum dots and their relevance for photoluminescence,Chemistry of Materials,33,9,3349-3358,2021,American Chemical Society
"Zhu, Dongxu; Zaffalon, Matteo L; Zito, Juliette; Cova, Francesca; Meinardi, Francesco; De Trizio, Luca; Infante, Ivan; Brovelli, Sergio; Manna, Liberato; ",Sb-doped metal halide nanocrystals: a 0D versus 3D comparison,ACS Energy Letters,6,6,2283-2292,2021,American Chemical Society
"Dümbgen, Kim Corinna; Zito, Juliette; Infante, Ivan; Hens, Zeger; ","Shape, electronic structure, and trap states in indium phosphide quantum dots",Chemistry of Materials,33,17,6885-6896,2021,American Chemical Society
"Du Fossé, Indy; Lal, Snigdha; Hossaini, Aydin Najl; Infante, Ivan; Houtepen, Arjan J; ",Effect of ligands and solvents on the stability of electron charged CdSe colloidal quantum dots,The Journal of Physical Chemistry C,125,43,23968-23975,2021,American Chemical Society
"Zaccaria, Francesco; Zhang, Baowei; Goldoni, Luca; Imran, Muhammad; Zito, Juliette; van Beek, Bas; Lauciello, Simone; De Trizio, Luca; Manna, Liberato; Infante, Ivan; ",The reactivity of CsPbBr3 nanocrystals toward acid/base ligands,ACS nano,16,1,1444-1455,2022,American Chemical Society
"Quarta, Danila; Toso, Stefano; Giannuzzi, Roberto; Caliandro, Rocco; Moliterni, Anna; Saleh, Gabriele; Capodilupo, Agostina‐Lina; Debellis, Doriana; Prato, Mirko; Nobile, Concetta; ",Colloidal bismuth chalcohalide nanocrystals,Angewandte Chemie,134,22,e202201747,2022,
"Toso, Stefano; Imran, Muhammad; Mugnaioli, Enrico; Moliterni, Anna; Caliandro, Rocco; Schrenker, Nadine J; Pianetti, Andrea; Zito, Juliette; Zaccaria, Francesco; Wu, Ye; ",Halide perovskites as disposable epitaxial templates for the phase-selective synthesis of lead sulfochloride nanocrystals,Nature communications,13,1,3976,2022,Nature Publishing Group UK London
"Bahmani Jalali, Houman; Pianetti, Andrea; Zito, Juliette; Imran, Muhammad; Campolucci, Marta; Ivanov, Yurii P; Locardi, Federico; Infante, Ivan; Divitini, Giorgio; Brovelli, Sergio; ",Cesium manganese bromide nanocrystal sensitizers for broadband Vis-to-NIR downshifting,ACS Energy Letters,7,5,1850-1858,2022,American Chemical Society
"Rainò, Gabriele; Yazdani, Nuri; Boehme, Simon C; Kober-Czerny, Manuel; Zhu, Chenglian; Krieg, Franziska; Rossell, Marta D; Erni, Rolf; Wood, Vanessa; Infante, Ivan; ",Ultra-narrow room-temperature emission from single CsPbBr3 perovskite quantum dots,Nature communications,13,1,2587,2022,Nature Publishing Group UK London
"Zhu, Dongxu; Bellato, Fulvio; Bahmani Jalali, Houman; Di Stasio, Francesco; Prato, Mirko; Ivanov, Yurii P; Divitini, Giorgio; Infante, Ivan; De Trizio, Luca; Manna, Liberato; ",ZnCl2 Mediated synthesis of InAs nanocrystals with aminoarsine,Journal of the American Chemical Society,144,23,10515-10523,2022,American Chemical Society
"du Fossé, Indy; Mulder, Jence T; Almeida, Guilherme; Spruit, Anne GM; Infante, Ivan; Grozema, Ferdinand C; Houtepen, Arjan J; ",Limits of defect tolerance in perovskite nanocrystals: effect of local electrostatic potential on trap states,Journal of the American Chemical Society,144,25,11059-11063,2022,American Chemical Society
